Course Number,Title,Credits,Term(s) Offered,Campus/Online,URL
56300,Programming Parallel Machines,3,Spring - odd years,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=403&show=true&type=undergrad
56500,Computer Architecture,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=120&show=true&type=undergrad
56800,Embedded Systems,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=281&show=true&type=undergrad
56900,Introduction to Robotic Systems,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=123&show=true&type=undergrad
57000,Artificial Intelligence,3,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=71&show=true&type=undergrad
57300,Compilers and Translator Writing Systems,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=441&show=true&type=undergrad
57700,Engineering Aspects of Remote Sensing,3,Spring - even years,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=93&show=true&type=undergrad
58000,Optimization Methods for Systems And Control ,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=616&show=true&type=undergrad
59500,Advanced Lithography,1,Spring - even years,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=741&show=true&type=undergrad
59500,Advanced Software Engineering,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=777&show=true&type=undergrad
59500,Applied Quantum Computing I-Fundamentals,1,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=773&show=true&type=undergrad
59500,Applied Quantum Computing II-Hardware,1,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=774&show=true&type=undergrad
59500,Applied Quantum Computing III-Algorthm and Software,1,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=775&show=true&type=undergrad
59500,CMOS Analog IC Design,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=479&show=true&type=undergrad
59500,Computer Vision for Embedded Systems,1,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=796&show=true&type=undergrad
59500,"Data Analysis, Design of Experiments and Machine Learning",1,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=722&show=true&type=undergrad
59500,Deep Learning for Computer Vision,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=751&show=true&type=undergrad
59500,Food and Energy Farms:  Challenges to Sustainable Production on a Crowded Planet,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=682&show=true&type=undergrad
59500,Fundamentals of Transistors,1,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=721&show=true&type=undergrad
59500,Integrated Circuit/MEMS Fabrication Laboratory,3,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=822&show=true&type=undergrad
59500,Intellectual Property Generation and Management: An Inventor's View,3,Summer,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=837&show=true&type=undergrad
59500,Introduction to Compilers I: Compiler Basics,1,Each Fall,Online only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=800&show=true&type=undergrad
59500,Introduction to Compilers II: Code Generation ,1,Each Fall,Online only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=801&show=true&type=undergrad
59500,Introduction to Compilers III: Optimization ,1,Each Fall,Online only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=802&show=true&type=undergrad
59500,Introduction to Data Mining,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=797&show=true&type=undergrad
59500,Introduction to Deep Learning,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=770&show=true&type=undergrad
59500,Introduction to Electronics Packaging and Heterogeneous Integration,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=798&show=true&type=undergrad
59500,Introduction to Game Theory,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=828&show=true&type=undergrad
59500,Introduction to Quantum Science and Technology,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=799&show=true&type=undergrad
59500,MEMS I: Microfabrication and Materials for MEMS,1,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=732&show=true&type=undergrad
59500,MEMS II:  Fundamentals of MEMS Design,1,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=731&show=true&type=undergrad
